,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
113,"Mais son emplacement de premier plan, près de la grande arche et du futur métro du Grand Paris, offrait de vraies potentialités.Comme celle de mixer les usages, bureaux, commerces, restaurants, centre d'affaires, pour attirer en sus des salariés les 8,5 millions de touristes qui chaque année arpentent",la Défense,sans s'attarder.,norme,NA,NA,NA,tourisme,positif,présent,pris en charge,,
114,"Groupama, qui investit 120 millions d'euros dans l'opération, espère séduireles grands groupes en offrant des plateaux de bureaux trois fois supérieurs à la moyenne de",la Défense,(1.500 mètres carrés environ).,norme,NA,NA,NA,NA,NA,NA,NA,20 minutes,
115,"les grands groupes en offrant des plateaux de bureaux trois fois supérieurs à la moyenne de la Défense (1.500 mètres carrés environ).  « C'est une offre unique, qui n'existait plus dans",le quartier,", ce qui explique d'ailleurs que des grands groupes qui voulaient des campus ont quitté la Défense »  , explique Eric Donnet, qui se dit persuadé que  « tout sera commercialisé »  avant la livraison en 2017.		",type lieu,architecture,neutre,pris en charge,quotidien,négatif,passé,cité,achat des immeuble/vacance locaux > quel categorie?,
116,"les grands groupes en offrant des plateaux de bureaux trois fois supérieurs à la moyenne de la Défense (1.500 mètres carrés environ).  « C'est une offre unique, qui n'existait plus dans le quartier, ce qui explique d'ailleurs que des grands groupes qui voulaient des campus ont quitté",la Défense," »  , explique Eric Donnet, qui se dit persuadé que  « tout sera commercialisé »  avant la livraison en 2017.		",norme,NA,NA,NA,quotidien,négatif,passé,cité,achat des immeuble/vacance locaux > quel categorie?,
117,"« C'est une offre unique, qui n'existait plus dans le quartier, ce qui explique d'ailleurs que des grands groupes qui voulaient des campus ont quitté la Défense »  , explique Eric Donnet, qui se dit persuadé que  « tout sera commercialisé »  avant la livraison en 2017.                Le pari peut paraître optimiste au vu de la difficulté qu'ont eue les dernières tours à se remplir : concurrencée, notamment par les loyers de la Seine-Saint-Denis, ",la Défense,"affiche un taux de vacance de 11 %, contre 7 % en Ile-de-France.",norme,NA,NA,NA,quotidien,négatif,présent,pris en charge,achat des immeuble/vacance locaux > quel categorie?,
120,"Plaza.Mais pour se développer,",le quartier,avait besoin d'un nouveau souffle et d'un rééquilibrage au sud.,type lieu,architecture,neutre,pris en charge,urbanisme,négatif,présent,pris en charge,nouveau souffle en quoi? urbanisme,
123,La Grande Arche est orpheline  Il avait réalisé le bâtiment emblématique du,quartier d'affaires de  La Défense,"et dessiné les plans de nombreux aéroports dans le monde, dont celui de Roissy.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
125,Il était néanmoins apparu très fatigué et frêle aux journalistes présents.L'architecte qui a conçu les plans de l'aéroport de Roissy et réalisé la Grande Arche de,la Défense,", est décédé jeudi à l'âge de 80 ans.		",norme,NA,NA,NA,NA,NA,NA,NA,,
127,"Hier, l'Etablissement public ParisLa Défense, qui gère",le quartier d'affaires,", a rendu hommage à l'architecte dans un tweet emprunt de poésie : «",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
129,L'un des grands hommes de la Grande Arche s'est éteint.Il laisse à,Paris La Défense,un symbole et un Nuage (NDLR : du nom de l'oeuvre suspendue qui traverse le vide central du bâtiment).,référence géographique,localisation,neutre,pris en charge,NA,NA,NA,NA,,
130,"Et vous, vous êtes plutôt fish and chips ou burgers bio ?  Ils travaillent dans",les tours,", habitent à côté ou y étudient : 36 usagers du quartier d'affaires ont goûté les plats de 30 food trucks.",type lieu,architecture,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
131,"Et vous, vous êtes plutôt fish and chips ou burgers bio ?  Ils travaillent dans les tours, habitent à côté ou y étudient : 36 usagers",du quartier d'affaires,ont goûté les plats de 30 food trucks.,type lieu,économie,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
133,,La Défense,"		Par Florence Hubin		« Pour le côté pratique, c'est raté !",norme,NA,NA,NA,NA,NA,NA,NA,,
135,"»		Ambiance conviviale, hier midi, au 19 e étage de l'immeuble Coeur Défense, où 36 testeurs étaient invités à la dégustation des plats proposés par 30 food trucks.Salariés, étudiants, habitants : tous les membres du jury sont des usagers ",du quartier d'affaires,.,type lieu,économie,neutre,pris en charge,événement,neutre,présent,pris en charge,,
136,"Salariés, étudiants, habitants : tous les membres du jury sont des usagers du quartier d'affaires.Et leur mission du jour est déterminante : elle va définir ce que les quelque 200 000 personnes qui passent chaque jour par",La Défense,vont pouvoir se mettre dans le ventre dans les mois à venir.,norme,NA,NA,NA,quotidien,neutre,futur,pris en charge,,
137,"Depuis 2016, l'établissement public ParisLa Défense, qui gère",le quartier d'affaires,", délivre en effet des autorisations à des camionnettes triées sur le volet pour enrichir l'offre de restauration.",type lieu,économie,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
141,"Si je ne sortais pas le midi, je passerais la journée dans ma tour.»		Preuve de ce succès, certains gérants de food trucks estiment que ",La Défense,est le « meilleur site d'Europe ».,norme,NA,NA,NA,quotidien,positif,présent,pris en charge,,
142,"Si je ne sortais pas le midi, je passerais la journée dans ma tour.»		Preuve de ce succès, certains gérants de food trucks estiment que La Défense est ",le « meilleur site d'Europe »,.,type lieu/classement/référence géographique,localisation/espace de vie,positif,cité,quotidien,positif,présent,pris en charge,,
143,"A la table d'à côté, l'équipe 2 teste les burgers.Anita, qui habite dans",le quartier,", côté Courbevoie, est sensible aux accompagnements.",type lieu,architecture,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
144,"Autour de la table, on s'accorde pour trouver les prix « très corrects ».A la table d'à côté, des salariées",du quartier,ont testé plusieurs cuisines asiatiques.,type lieu,architecture,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
151,Urbanisme   Le boulevard circulaire de,La Défense,"devient intelligent  A partir de cet été, plusieurs technologies innovantes seront testées sur la D 993 pendant un an pour fluidifier le trafic et pouvoir accueillir les véhicules connectés du futur.",norme,NA,NA,NA,urbanisme,positif,présent,pris en charge,,
152,Des flèches qui s'éclairent sur le bitume de la chaussée quand les automobilistes arrivent aux carrefours.Ou encore des informations qui s'affichent sur votre tableau de bord quand vous vous approchez de,La Défense," (Hauts-de-Seine) au volant de votre véhicule connecté...                A partir de l'été, le boulevard circulaire de La Défense, qui enserre le quartier d'affaires, va devenir la route urbaine du futur, véritable préfiguration de la ville intelligente.",norme,NA,NA,NA,urbanisme,neutre,présent,pris en charge,,
154,"Des flèches qui s'éclairent sur le bitume de la chaussée quand les automobilistes arrivent aux carrefours.Ou encore des informations qui s'affichent sur votre tableau de bord quand vous vous approchez de La Défense (Hauts-de-Seine) au volant de votre véhicule connecté...                A partir de l'été, le boulevard circulaire de ",La Défense,", qui enserre le quartier d'affaires, va devenir la route urbaine du futur, véritable préfiguration de la ville intelligente.",norme,NA,NA,NA,urbanisme,positif,futur,pris en charge,40 mn,
155,"Des flèches qui s'éclairent sur le bitume de la chaussée quand les automobilistes arrivent aux carrefours.Ou encore des informations qui s'affichent sur votre tableau de bord quand vous vous approchez de La Défense (Hauts-de-Seine) au volant de votre véhicule connecté...                A partir de l'été, le boulevard circulaire de La Défense, qui enserre ",le quartier d'affaires,", va devenir la route urbaine du futur, véritable préfiguration de la ville intelligente.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
160,"Les Yvelines, c'est le département avec lequel nous avons la plus grande frontière commune », justifie Patrick Devedjian, avant d'énumérer : « Nous avons eu une première coopération avec le chantier du tramway T6 ( NDLR : Châtillon-Vélizy ).Il y aura aussi le prolongement d'Eole ( RER E ) à l'ouest par",La Défense,", Nanterre puis les Yvelines, mais aussi la ligne verte du métro du Grand Paris		(oissy-Orly par l'ouest via La Défense, Versailles, Saclay) .",norme,NA,NA,NA,NA,NA,NA,NA,,
161,"Les Yvelines, c'est le département avec lequel nous avons la plus grande frontière commune », justifie Patrick Devedjian, avant d'énumérer : « Nous avons eu une première coopération avec le chantier du tramway T6 ( NDLR : Châtillon-Vélizy ).Il y aura aussi le prolongement d'Eole ( RER E ) à l'ouest par La Défense, Nanterre puis les Yvelines, mais aussi la ligne verte du métro du Grand Paris                (oissy-Orly par l'ouest via ",La Défense,", Versailles, Saclay) .",norme,NA,NA,NA,NA,NA,NA,NA,,
162,Cela fait déjà trois moyens de transport que nous partageons.Et puis il y a,le quartier d'affaires,", La Défense est le premier pôle d'emploi des Yvelines.",type lieu,économie,neutre,pris en charge,économie,positif,présent,pris en charge,"emploi, quelle cible?",
163,"Cela fait déjà trois moyens de transport que nous partageons.Et puis il y a le quartier d'affaires,",La Défense,est le premier pôle d'emploi des Yvelines.,norme,NA,NA,NA,économie,positif,présent,pris en charge,,
164,A,la Défense,", Unibail rabote son projet de tour Phare",norme,NA,NA,NA,urbanisme,neutre,présent,pris en charge,,
166,                Ce devait être la tour la plus haute ,du quartier d'affaires de la Défense,", mais aussi de France.",type lieu,économie,neutre,pris en charge,urbanisme,positif,présent,pris en charge,,
173,"Et les controverses ne se sont pas éteintes.Patrick Jarry, le maire (Gauche citoyenne) de Nanterre, actuel président de l'Epadesa, n'aime pas ce projet pharaonique et le maire de Courbevoie, Jacques Kossowski (Les Républicains), est vent debout car les travaux de construction de la tour supposent la destruction de la passerelle Carpeaux, relevant de Courbevoie et par laquelle 30.000 piétons traversent quotidiennement le boulevard circulaire de",la Défense,.		,norme,NA,NA,NA,NA,NA,NA,NA,,
