,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
1248,"Mais, comme Joris, 29 ans, les clients sont fatalistes : « S'ils veulent frapper, les terroristes y arriveront.» En février dernier déjà, un groupe d'islamistes kényans, les shebabs, avait menacé Paris, plus particulièrement les Halles et",La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1249,"Et ce n'est rien à côté du futur pavillon 6 de Paris Expo, porte de Versailles, qui verra, à partir de 2020, sur 14.000 m2 de toit, la production d'un millier de fruits et légumes par jour par une vingtaine de maraîchers.Même",le quartier d'affaires ultra-bitumé de la Défense,aura son parc de 7 hectares sur l'esplanade.,type lieu,économie/urbanisme/espace de vie,négatif,NA,quotidien,positif,futur,pris en charge,,
1251,"Les inscriptions à l'Urban Week ouvrent à midi  Les inscriptions débutent ce mercredi midi pour participer aux explorations urbaines du 19 au 22 septembre, sur et sous",la dalle de La Défense,.,type lieu,urbanisme/taille,neutre,pris en charge,événement,neutre,présent,pris en charge,,
1252,"Du 19 au 22 septembre,",le quartier d'affaires de la défense,"ouvre au public des sites d'exception, mais les places sont limitées.",type lieu,économie,neutre,pris en charge,tourisme,positif,présent,pris en charge,,
1256,"Le Cnit , qui fête aujourd'hui ses 60 ans, l'Arena ParisLa Défense, le chantier de la future tour Trinity, mais aussi l'atelier de l'artiste Raymond Moretti et son « Monstre» tapi dans les entrailles",du quartier,", le programme de ces quatre journées est riche en découvertes, mais aussi en activités ludiques et physiques.",type lieu,urbanisme,neutre,pris en charge,tourisme,positif,présent,pris en charge,,
1257,"L'année précédente, c'est à Nanterre qu'un nouveau poste source était mis en service - juste à côté de la place de la Boule -, créé pour accompagner l'accroissement démographique et économique du secteur.« Il a une position centrale entre",le quartier d'affaires de la défense,"et les autres postes source du département», souligne Marc Launay.",type lieu,économie,neutre,cité,NA,NA,NA,NA,150,
1258,     Saclas		Par Cécile Chevallier		On est loin des grandes tours stressantes ,de la défense,", le premier quartier d'affaires européen situé en bordure de Paris.",norme,NA,NA,NA,urbanisme,négatif,présent,pris en charge,,
1259,"     Saclas		Par Cécile Chevallier		On est loin des grandes tours stressantes de la défense      , ",le premier quartier d'affaires européen situé en bordure de Paris,.,type lieu/référence géographique/classement,localisation/économie,positif,pris en charge,urbanisme,négatif,présent,pris en charge,,
1260,,la défense,Des airs de Broadway aux Quatre-Temps.,norme,NA,NA,NA,NA,NA,NA,NA,,
1262,"la défense Des airs de Broadway aux Quatre-Temps.Demain, le centre commercial",du quartier d'affaires de la défense,"accueille en effet la troupe de « Grease, le musical », à l'affiche depuis le mois de septembre, au Théâtre Mogador (Paris IX e).",type lieu,économie,neutre,pris en charge,événement,neutre,présent,pris en charge,,
1264,Création de bureaux :,l'ouest,rafle la mise  Économie.,métaphore,localisation,neutre,pris en charge,immobilier,positif,présent,pris en charge,,
1265,Création de bureaux : l'ouest rafle la mise  Économie.,L'ouest parisien,concentre de plus en plus de bureaux.,métaphore,localisation,neutre,pris en charge,immobilier,neutre,présent,pris en charge,,
1266,,la défense," Propos recueillis par David Livois		Emin Iskenderov a-t-il les moyens de financer les 3 Mds€, coût estimé de construction des tours",norme,NA,NA,NA,NA,NA,NA,NA,,
1268,Alors que les élus de l'établissement public Paris,La Défense,"s'interrogent sur la solvabilité du promoteur russe qui porte ce projet pharaonique, le maire de Courbevoie, Jacques Kossowski (LR), réaffirme, lui, sa confiance au PDG du groupe immobilier.",norme,NA,NA,NA,administration,positif,présent,cité,,
1269,Pourquoi soutenir publiquement le projet alors que l'établissement public Paris,La Défense,", dont vous êtes vice-président , a récemment émis des doutes sur la capacité de financement du groupe Hermitage ?",norme,NA,NA,NA,administration,négatif,présent,cité,,
1270,D'abord parce qu'avant d'être vice-président de Paris,La Défense,", je suis maire de Courbevoie et que c'est sur le territoire de ma ville que cet ensemble doit voir le jour.",norme,NA,NA,NA,administration,neutre,présent,cité,,
1271,Quant à la somme réclamée par Paris,La Défense,"pour l'immobilisation du terrain, M. Iskenderov est tout à fait disposé à la verser.",norme,NA,NA,NA,administration,positif,présent,pris en charge,,
1272,Dans un courrier adressé à Patrick Devedjian (NDLR : président de Paris,La Défense,"), il s'est d'ailleurs engagé à mettre, avant le 30 juillet, 30 M€ sous séquestre jusqu'à la signature de la promesse de vente...		",norme,NA,NA,NA,administration,neutre,présent,cité,,
1273,"Que la situation s'enlise et que l'on perde encore quinze ans.Dans le contexte,le quartier d'affaires de",la défense,"ne peut pas se permettre de perdre encore de longues années à faire émerger un nouveau projet, avec le risque de s'exposer à des recours.",norme,NA,NA,NA,urbanisme,négatif,futur,cité,,
1274,Le tram ne circule pas jusqu'à demain soir entre Division-Leclerc et Georges-Pompidou pour cause de travaux.La RATP met en place des bus de substitution.,LA DÉFENSE,"161 000 mégots, soit 41 kg de déchets.",norme,NA,NA,NA,quotidien,négatif,présent,pris en charge,,
1275,"LA DÉFENSE 161 000 mégots, soit 41 kg de déchets.Voilà le bilan de la journée de collecte organisée le 20 septembre",dans le quartier d'affaires,"par Paris la défense et l'association World CleanUp Day, avec près de 20 entreprises.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1276,"LA DÉFENSE 161 000 mégots, soit 41 kg de déchets.Voilà le bilan de la journée de collecte organisée le 20 septembre dans le quartier d'affaires par Paris",la défense,"et l'association World CleanUp Day, avec près de 20 entreprises.",norme,NA,NA,NA,NA,NA,NA,NA,,
1277,"La SNCF a fait appel à un éminent spécialiste japonais pour guider l'entreprise dans la gestion des foules, de plus en plus nombreuses, qui transitent par ses gares.Reportage",à La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1278,"Un jamologue, discipline méconnue en France, étudie les flux et les embouteillages (« trafic jam » en anglais) créés par les foules.Et en Ile-de-France, quoi de mieux comme terrain de jeu que la gare",de la défense,", l'immense quartier d'affaires, avec ses quelque 200 000 voyageurs par jour ?",norme,NA,NA,NA,quotidien,positif,présent,pris en charge,,
1279,"Au pays du Soleil Levant, on privilégie des inscriptions au sol, des pictogrammes sur des panneaux, ou encore tout un tas de petites astuces peu coûteuses et efficaces, à condition qu'elles soient respectées par les usagers.                Exemple sur le quai ",de La Défense,en pleine heure de pointe.,norme,NA,NA,NA,NA,NA,NA,NA,,
1281,"Après une crèche, l'ensemble de 19 immeubles de bureaux doit voir arriver cantines, salle de sport et station-service.De quoi dynamiser",un quartier porteur d'emplois,.,type lieu,espace de vie/urbanisme,positif,pris en charge,quotidien,positif,futur,pris en charge,,
1282,"Implanté entre la Seine et l'A 86, le parc",La Défense,-Nanterre,norme,NA,NA,NA,NA,NA,NA,NA,,
1283,Un succès similaire à celui du parc,La Défense,-Nanterre,norme,NA,NA,NA,NA,NA,NA,NA,,
1284,«Ce parc est un écosystème dont,le quartier d'affaires de la défense,"a besoin pour rayonner, observe-t-il.",type lieu,économie,neutre,pris en charge,tourisme,positif,futur,pris en charge,,
1285,"Et grâce à son développement, Nanterre devrait bientôt passer la barre des 100 000 emplois.»		L'élu espère maintenant que ces emplois profiteront aux Nanterriens, et rêve déjà d'une nouvelle passerelle au-dessus de l'A 86 pour relier le parc ",La Défense,-Nanterre-Seine au Petit-Nanterre...,norme,NA,NA,NA,NA,NA,NA,NA,,
1286,,"La Défense
     ",: les inscriptions à la course Vertigo sont ouvertes,norme,NA,NA,NA,NA,NA,NA,NA,170,
1288,"Venez gravir les 954 marches et les 48 étages du plus haut building de France.L'association Play International vient d'ouvrir les inscriptions pour sa course Vertigo, qui se déroulera le 24 mai à la tour First, en plein coeur",du quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,événement,neutre,présent,pris en charge,,
1289,"« Les deux départements représentent, à eux seuls, plus de 50 % des intentions de recrutement cette année.Les centres de décision (sièges de grands groupes) présents à Parisou à",La Défense,"concentrent un volume important de ces projets », analyse Pôle emploi.",norme,NA,NA,NA,administration,positif,présent,cité,,
1290,"» De quoi doper l'activité de cette PME, qui propose aux grandes entreprises du CAC 40 des solutions informatiques ultra-pointues pour travailler sur smartphone, presque comme au bureau.                agents d'entretien et animateurs au Nord, banquiers...",à La Défense,,norme,NA,NA,NA,NA,NA,NA,NA,,
1291,"Ainsi dans la boucle nord (13 045 projets de recrutement), ce sont les agents d'entretien de locaux et les animateurs qui concentrent le plus d'offres d'emploi.Autour",de La Défense,"(37 058 projets), les cadres administratifs et les employés de la banque sont logiquement très recherchés.		",norme,NA,NA,NA,administration,neutre,présent,pris en charge,,
1293,"Vive émotion au pôle universitaire Léonard-de-Vinci.L'établissement privé, situé aux portes",du quartier d'affaires de la défense,", pleure l'un de ses enseignants, poignardé à mort, hier, par un de ses anciens étudiants.",type lieu,économie,neutre,pris en charge,événement,négatif,présent,pris en charge,,
1295,"     Colombes                Par Adeline Daboval                Du côté de l'Arc sportif de Colombes, les promoteurs vantent et vendent des appartements bientôt connectés au tramway.Mais les acheteurs pourraient devoir patienter un peu plus longtemps avant de pouvoir rejoindre en quelques minutes ",le quartier d'affaires de la défense,", ses entreprises, son RER et son métro...                Promise pour les futurs Jeux olympiques de Paris en 2024, notamment parce qu'elle doit desservir le stade Yves-du-Manoir, l'extension de la ligne du tramway T1, aujourd'hui arrêtée aux Courtilles (Asnières-Gennevilliers), jusqu'au Petit-Colombes aurait déjà pris un retard quasi irrattrapable, selon la Fnaut IDF (Fédération nationale des associations d'usagers des transports).  ",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1297,,La Défense,,norme,NA,NA,NA,NA,NA,NA,NA,,
1298,La DéfenseL'un des meilleurs mathématiciens de la planète sera demain,dans le quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,événement,positif,présent,pris en charge,,
1300,"Thomas Chauchard a mis cinq ans pour constituer le groupe de services informatiques Noveane, qui emploie 170 salariés et revendique 20 millions d'euros de chiffre d'affaires.Actionnaire majoritaire, avec quelques membres du management, de l'entreprise qu'il préside",dans le quartier d'affaires parisien de la Défense (Hauts-de-Seine,"), il annonce 91 % de croissance en quatre ans.",type lieu/référence géographique,économie/localisation,neutre,pris en charge,économie,positif,futur,cité,,
1301,"Dernière acquisition en date, celle d'Atexo Conseil.Ce cabinet, bien connu des collectivités territoriales en matière de gestion du patrimoine, de finances publiques et de modernisation des services de l'Etat, a quitté Paris pour rejoindre",la Défense,fin septembre.,norme,NA,NA,NA,NA,NA,NA,NA,,
1302,"Le conseil municipal réclame le maintien du RER A  « Pour les usagers, c'est le seul moyen de transport pour rejoindre",le  quartier d'affaires de  la Défense,"», insiste la ville.",type lieu,économie,neutre,cité,NA,NA,NA,NA,,
1303,"Lors de la réunion du conseil municipal de lundi soir, Karl Olive, le maire (LR), a soumis un voeu aux élus pour réclamer le maintien de la liaison.« Pour les usagers, c'est le seul moyen de transport pour rejoindre",La Défense,"», insiste la ville.",norme,NA,NA,NA,NA,NA,NA,NA,,
1304,"Ravi du « grand succès populaire » des Extatiques, l'établissement public Paris",La Défense,a souhaité conserver une empreinte de cette exposition.,norme,NA,NA,NA,événement,positif,présent,cité,,
1305,"Ce banc semble avoir été créé pour ce site, il est à son échelle, relève-t-elle.Dans",un quartier d'affaires comme la Défense,", c'est une invitation à retrouver ses sensations et son regard d'enfant, dans un esprit joyeux et ludique.",type lieu,économie,neutre,cité,événement,positif,présent,cité,,
1306,Il propose un point de vue différent sur Paris,La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1307,"»		S'il reste discret sur le prix d'acquisition de ce banc public XXL, l'état-major de Paris",La Défense,se réjouit d'étoffer encore un peu plus sa collection qui compte désormais 70 oeuvres d'art.,norme,NA,NA,NA,urbanisme,positif,futur,cité,,
1308,La Défense se réjouit d'étoffer encore un peu plus sa collection qui compte désormais 70 oeuvres d'art.«,"Paris
       La Défense","n'est pas seulement le plus grand quartier d'affaires d'Europe, insiste-t-on du côté de l'établissement public.",référence géographique,localisation,neutre,cité,économie,positif,présent,cité,,
1309,« Paris       La Défense n'est pas seulement,le plus grand quartier d'affaires d'Europe,", insiste-t-on du côté de l'établissement public.",type lieu/référence géographique/classement,localisation/économie,positif,pris en charge,économie,positif,présent,cité,,
1310,"La Défense n'est pas seulement le plus grand quartier d'affaires d'Europe, insiste-t-on du côté de l'établissement public.C'est aussi",le plus vaste musée de France à ciel ouvert,.,classement/métaphore,taille/espace de vie,positif,pris en charge,NA,NA,NA,NA,,
1311,,La Défense,Star de la critique musicale et inoubliable animateur de l'émission culte «,norme,NA,NA,NA,NA,NA,NA,NA,,
1312,"La Défense Star de la critique musicale et inoubliable animateur de l'émission culte «Les Enfants du rock », Philippe Manoeuvre sera de passage, aujourd'hui ,dans",le quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,événement,neutre,présent,pris en charge,,
1313,,la défense,Le  quartier d'affaires veut attirer,norme,NA,NA,NA,tourisme,neutre,présent,pris en charge,,
1314,la défense,Le  quartier d'affaires,veut attirer,type lieu,économie,neutre,pris en charge,tourisme,neutre,présent,pris en charge,,
1315,,la défense,Le quartier d'affaires veut attirer les touristes II		clamart		Vos vieilles lunettes peuvent encore servir,norme,NA,NA,NA,tourisme,neutre,présent,pris en charge,,
1316,la défense,Le quartier d'affaires, veut attirer les touristes II		clamart		Vos vieilles lunettes peuvent encore servir,type lieu,économie,neutre,pris en charge,tourisme,neutre,présent,pris en charge,,
1317,"la défense| 92		Par Delphine Sitbon		«Avec l'Eté Paris la défense,",le quartier d'affaires,va passer du gris au vert à partir d'aujourd'hui.,type lieu,économie,neutre,pris en charge,urbanisme,positif,futur,cité,,
1318,Construire une pokeball avec vos enfantsL'été de,La Défense,propose aussi de nombreuses activités ludiques pour occuper les enfants.,norme,NA,NA,NA,quotidien,positif,présent,pris en charge,,
1319,Le but : créer un écosystème où les déchets des premiers nourrissent les seconds.Un module de découverte de l'aquaponie sera proposé sur la place,de La Défense,", avec de nombreuses explications sur cette méthode.",norme,NA,NA,NA,événement,neutre,présent,pris en charge,,
1320,"Tous les jours aux heures d'ouvertures.		Faire de la gymnastique suédoise Grand rendez-vous (au sens propre) de l'été,",La Défense,proposera des cours géants (150 personnes) de gymnastique suédoise.,norme,NA,NA,NA,événement,neutre,présent,pris en charge,,
1321,"77,2 % / le taux d'occupation des hôtels de",Paris-La Défense,,référence géographique,localisation,neutre,pris en charge,tourisme,neutre,présent,pris en charge,,
1322,Les hôtels,du quartier d'affaires parisien de la Défense,"ont enregistré un taux d'occupation de 77,2 % au deuxième trimestre 2016, soit 3 points de plus que lors de la période correspondante de l'année dernière.",référence géographique/type lieu,économie/localisation,neutre,pris en charge,tourisme,positif,présent,pris en charge,,
1323,Le prix moyen des chambres a également augmenté.  « Cela témoigne de l'évolution de la mixité des usages,dans le quartier,", et notamment de l'augmentation de la dimension tourisme et loisir »,  se réjouit Marie-Célie Guillaume, directrice générale de Paris",type lieu,urbanisme,neutre,cité,tourisme,positif,présent,cité,,
1324,"Chaque année, à Cannes, en mars, se tient le Marché international des professionnels de l'immobilier qui promeut des projets du monde entier.Deux représentants de la ville de Puteaux, où se situe plus de la moitié","de la défense, premier quartier d'affaires d'Europe et quatrième mondial",", s'y rendront.",type lieu/classement/référence géographique,économie/localisation,positif,pris en charge,NA,NA,NA,NA,,
1325,Virginie a donné son prénom au tunnelier géant du RER E  L'engin de 11 m de diamètre a été baptisé hier.Il va creuser 6 km de souterrain entre,La Défense,et Saint-Lazare.,norme,NA,NA,NA,NA,NA,NA,NA,,
1326,,La Défense,"		Par Florence Hubin« Être la marraine du tunnelier, c'est énorme, c'est une grande joie », s'exclame Virginie Blivet",norme,NA,NA,NA,NA,NA,NA,NA,,
1327,"Tribet dans un large sourire.Le plus grand tunnelier de France, en cours d'assemblage à Courbevoie, aux portes",du quartier d'affaires de la défense,", a été officiellement baptisé hier.		",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1328,"- 11 m de diamètre, soit un de plus que celles des tunneliers du Grand Paris Express- attend sa descente au fond du puits du site Gambetta, à côté des tours",de La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1330,"Valérie Pécresse, présidente (LR) de la région et d'Ile-de-France Mobilités, a rappelé que ces chantiers n'étaient pas sans risque.Et qu'un incident s'était déjà produit le 30 octobre 2017 sur le chantier Eole de la porte Maillot, entraînant l'interruption du trafic du RER A pendant deux jours et demi entre",La Défense,et Auber.,norme,NA,NA,NA,NA,NA,NA,NA,,
1331,"A Puteaux, un taudis près",de La Défense,"Si l'immeuble décrépi a été vidé de ses derniers occupants à l'été 2017, la ville peine toujours à racheter les lots à des propriétaires parfois introuvables.",norme,NA,NA,NA,NA,NA,NA,NA,,
1332,"Une disgracieuse verrue au milieu d'un visage savamment fardé.A Puteaux (Hauts-de-Seine), le taudis de la rue Collin défigure le coquet centre-ville, à deux pas",du quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1333,     Par		 1996.Mise en service de l'autoroute qui relie ,le quartier d'affaires de la défense,"(Hauts-de-Seine) à Orgeval, où elle rejoint l'A 13.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1334,"Il était une fois la pittoresque avenue Jenny  Un documentaire et une exposition sont consacrés à cette rue, petit bout de campagne aux portes",de La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1336,"     Nanterre                Par David Livois                Ici, on taille ses rosiers, on cultive ses tomates et on nourrit ses lapins à l'ombre de la Grande Arche.A elle seule, l'emblématique avenue Jenny illustre à merveille le contraste entre l'architecture moderne ",du quartier d'affaires de la défense,et celle des pavillons construits à Nanterre dans les années 1950.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1337,L'idée était de raconter l'histoire de ces gens sur un temps aussi long que celui de la transformation urbaine...»		Une mutation marquée par la proximité des gratte-ciel de ,La Défense,"mais aussi par la construction, plus récente, de l'imposante Villapolonia, résidence huppée de Courbevoie qui se dresse face à la minuscule avenue.",norme,NA,NA,NA,NA,NA,NA,NA,,
1338,"Construction livreront mi-2018 la tour Manhattan Loft Gardens : 42 étages résidentiels hauts de 150 mètres, sculptés par deux porte-à-faux accueillant des jardins panoramiques.D'ici là, le géant français du BTP et l'architecte génois Renzo Piano auront végétalisé le toit du futur palais de justice de Paris, aux Batignolles.",Le quartier d'affaires de la Défense,n'est pas en reste.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1342,"» Les acheteurs viennent principalement de Boulogne-Billancourt, devenue trop chère, et du XVe arrondissement de Paris : « Issy permet aux cadres parisiens de gagner une pièce par rapport aux tarifs pratiqués dans la capitale » , explique Franck Béasse, directeur de Century 21 Immo d'Issy.Une localisation d'autant plus pratique que les cols blancs sont nombreux à travailler sur place",ou à la Défense,",ce quartier d'affaires étant relié à Issy par le tramway.",norme,NA,NA,NA,quotidien,neutre,présent,pris en charge,,
1343,"» Les acheteurs viennent principalement de Boulogne-Billancourt, devenue trop chère, et du XVe arrondissement de Paris : « Issy permet aux cadres parisiens de gagner une pièce par rapport aux tarifs pratiqués dans la capitale » , explique Franck Béasse, directeur de Century 21 Immo d'Issy.Une localisation d'autant plus pratique que les cols blancs sont nombreux à travailler sur place ou à la Défense,",ce quartier d'affaires,étant relié à Issy par le tramway,type lieu,économie,neutre,pris en charge,quotidien,neutre,présent,pris en charge,,
1344,Mélanie Cataldo a démarré en 2008 avec un food truck- une idée qu'elle a eue en voyant la baraque à frites dans le film « Bienvenue chez les Ch'tis » -dans,le quartier d'affaires de la Défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1345,Saviez-vous que Puteaux compte parmi les communes les plus riches de France?Une bonne fortune qui provient en grande partie des taxes payées par les entreprises implantées,dans le quartier d'affaires de la Défense,", dont les deux tiers du territoire sont putéoliens.		",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1346,"Puteaux est moins étendue que sa voisine Nanterre et ses réserves foncières pour de nouveaux projets immobiliers sont limitées.Elle présente toutefois l'avantage d'être bien desservie par les transports en commun et d'avoir des taxes foncières peu élevées, grâce aux ressources",de la Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1347,"C'est une première en France, réalisée par Anthony Béchu et Tom Sheehan.Véritable dentelle de métal surplombant jusqu'à 171 mètres de hauteur",le quartier d'affaires de la Défense,", l'exosquelette de la tour D2 figure parmi les lauréats de la première édition des Trophées Eiffel d'architecture acier.",type lieu,économie,neutre,pris en charge,urbanisme,positif,présent,pris en charge,,
1349,"Même s'il est très cher...»  Le retour des exilés londoniens ou belges Et à Neuilly, voisine cossue",du quartier d'affaires de la défense,", ce phénomène induit par la pénurie de logements semble amplifié par les conséquences du Brexit, qui prévoit la sortie du Royaume-Uni de l'Union européenne.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1350,"     Courbevoie                Le chantier de prolongement du RER E vers l'ouest est endeuillé.Hier, vers 10 heures, un dramatique accident du travail a coûté la vie au conducteur d'une grue, rue Michel-Ange, à Courbevoie, à deux pas ",du quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1351,,La Défense,Le  quartier d'affaires a besoin,norme,NA,NA,NA,NA,NA,NA,NA,,
1352,La Défense,Le  quartier d'affaires,a besoin,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1353,,la défense,Le quartier d'affaires a besoin d'hôtels P. III		,norme,NA,NA,NA,tourisme,négatif,présent,pris en charge,,
1354,la défense,Le quartier d'affaires, a besoin d'hôtels P. III		,type lieu,économie,neutre,pris en charge,tourisme,négatif,présent,pris en charge,,
1356,"« En réduisant le temps de parcours vers Paris, on attirera des entreprises », soutient Claude Guez, président de la CCI.« Pas de",quartier d'affaires la Défense,"à la rouennaise », prévient néanmoins le maire, Yvon Robert.",type lieu,économie,neutre,cité,NA,NA,NA,NA,,
1358,Vous dénoncez ce contrat de naming entre la U-Arena et l'établissement public Paris,La Défense,.,norme,NA,NA,NA,administration,négatif,présent,cité,,
1359,Cette opération n'a tout simplement aucun sens.Qui est le plus connu entre,le quartier d'affaires de la défense,et le stade construit par M. Lorenzetti?,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1361,Qui est le plus connu entre le quartier d'affaires de la défense et le stade construit par M. Lorenzetti?C'est plutôt l'Arena qui devrait payer une taxe pour que,La Défense,lui prête son nom.,norme,NA,NA,NA,administration,négatif,présent,cité,,
1363,"Après tout, n'existe-t-il pas d'autres priorités ?Avec 30 M€, il serait peut-être plus pertinent d'améliorer l'accessibilité",au quartier d'affaires,ou encore la gestion d'espaces publics souvent en mauvais état.,type lieu,économie,neutre,pris en charge,urbanisme,négatif,présent,cité,,
1364,,La Défense,", en chantier sur tous les plans",norme,NA,NA,NA,urbanisme,neutre,présent,pris en charge,,
1366,"La pose de la première pierre de la future tour Saint-Gobain (lire ci-dessus) fait suite à une déjà longue histoire.Cet immeuble est l'héritier d'une autre tour, de 300 mètres de haut, parmi les fleurons du plan de renouveau",de la Défense,", lancé au milieu des années 2000 par Generali.",norme,NA,NA,NA,urbanisme,positif,passé,pris en charge,,
1367,"Quelque six ans plus tard, il remet l'ouvrage sur le métier, avec cette fois toutes les garanties : la tour est plus petite - 165 mètres - mais, cette fois, elle a un locataire de renom, pour un bail de plus de douze ans.  Ainsi va le marchéde",la Défense,",le plus grand quartier d'affaires européen, au gré des crises financières et immobilières.",norme,NA,NA,NA,économie,positif,présent,pris en charge,,
1368,"Quelque six ans plus tard, il remet l'ouvrage sur le métier, avec cette fois toutes les garanties : la tour est plus petite - 165 mètres - mais, cette fois, elle a un locataire de renom, pour un bail de plus de douze ans.  Ainsi va le marchéde la Défense,",le plus grand quartier d'affaires européen,", au gré des crises financières et immobilières.",type lieu,urbanisme,neutre,pris en charge,économie,neutre,présent,pris en charge,,
1377,"L'ambiance euphorique des ouvertures de chantier cache pourtant une guerre de territoires.Apaisée depuis quelques années, elle est sur le point de renaître : «  Nous avons amorcé un virage à l'automne 2015 en redéfinissant le plan de rénovation",du quartier de la Défense,", si nécessaire à lier avec les territoires qui l'entourent  », a souligné mercredi Patrick Jarry, le maire de Nanterre et président du conseil d'administration de l'Epadesa, l'établissement public qui veille aux destinées de la Défense.",type lieu,urbanisme,neutre,pris en charge,administration,neutre,passé,cité,,
1378,"L'ambiance euphorique des ouvertures de chantier cache pourtant une guerre de territoires.Apaisée depuis quelques années, elle est sur le point de renaître : «  Nous avons amorcé un virage à l'automne 2015 en redéfinissant le plan de rénovation du quartier de la Défense, si nécessaire à lier avec les territoires qui l'entourent  », a souligné mercredi Patrick Jarry, le maire de Nanterre et président du conseil d'administration de l'Epadesa, l'établissement public qui veille aux destinées de",la Défense,.,norme,NA,NA,NA,administration,neutre,présent,pris en charge,,
1379,"Apaisée depuis quelques années, elle est sur le point de renaître : «  Nous avons amorcé un virage à l'automne 2015 en redéfinissant le plan de rénovation du quartier de la Défense, si nécessaire à lier avec les territoires qui l'entourent  », a souligné mercredi Patrick Jarry, le maire de Nanterre et président du conseil d'administration de l'Epadesa, l'établissement public qui veille aux destinées de la Défense.«  Il revient aux collectivités d'assumer l'aménagement et la gestion",de ce quartier,", l'Etat n'en a plus les moyens  », a renchéri Patrick Devedjian, le président de Defacto, l'autre structure chargée depuis 2009 de la gestion des espaces publics.		",type lieu,urbanisme,neutre,pris en charge,administration,négatif,présent,cité,,
1380,"«  Il revient aux collectivités d'assumer l'aménagement et la gestion de ce quartier, l'Etat n'en a plus les moyens  », a renchéri Patrick Devedjian, le président de Defacto, l'autre structure chargée depuis 2009 de la gestion des espaces publics.                Plus qu'une seule structure Entre ces ennemis de longue date, la conversation risque de virer à l'aigre : les deux établissements vont fusionner en une seule structure, financée par le département et les trois villes collées ",au quartier d'affaires,", Nanterre, Puteaux et Courbevoie.",type lieu,économie,neutre,pris en charge,administration,négatif,présent,cité,,
1382,"Tout le monde est prêt à investir dans le quartier des Groues, mais lorsqu'il s'agit de rénover des logements sociaux, il n'y a plus personne  », regrette-t-il.                En 2010, après des années de violente opposition entre ce maire communiste et l'Epad contrôlé par l'Etat, les relations s'étaient apaisées, une partie de la ville ayant été associée au développement ",du quartier d'affaires,.,type lieu,économie,neutre,pris en charge,administration,négatif,passé,cité,,
1383,,La Défense,", bien placée dans la compétition entre quartiers d'affaires",norme,NA,NA,NA,économie,positif,présent,pris en charge,,
1384,Elle dispose de quelques atouts et en têteson parc immobilierv,Le principal quartier d'affaires de la région,",la Défense se défend bien avec une quatrième place sur 17 au classement mondial derrière la City à Londres, Midtown à New York et Marunouchi à Tokyo et devant Canary Wharf à Londres et le Financial District de New York.",classement/type lieu/référence géographique,localisation/économie,positif,pris en charge,économie,positif,présent,pris en charge,,
1385,"Elle dispose de quelques atouts et en têteson parc immobiliervLe principal quartier d'affaires de la région,",la Défense,"se défend bien avec une quatrième place sur 17 au classement mondial derrière la City à Londres, Midtown à New York et Marunouchi à Tokyo et devant Canary Wharf à Londres et le Financial District de New York.",norme,NA,NA,NA,urbanisme,positif,présent,pris en charge,,
1386,"son parc immobiliervLe principal quartier d'affaires de la région,la Défense se défend bien avec une quatrième place sur 17 au classement mondial derrière la City à Londres, Midtown à New York et Marunouchi à Tokyo et devant Canary Wharf à Londres et le Financial District de New York.Ses 3,6 millions de mètres carrés sont occupés à 93 % par 180.000 salariés et le plan de relance commencé en 2006, qui prévoyait la rénovation et la construction de nouvelles tours, a sensiblement redoré l'image",du quartier,.		,type lieu,urbanisme,neutre,pris en charge,urbanisme,positif,présent,pris en charge,,
1387,"l'influence locale et mondiale entrent aussi en ligne de compte .»		Sur ces champs,",la Défense,est moins bonne élève et seulement septième pour la qualité urbaine qui a diminué entre 2012 et 2017.,norme,NA,NA,NA,vie quotidienne,négatif,présent,pris en charge,,
